city;county;county_code;km;id_fan
Abrud                                  ;Alba           ;AB;0;10001
Abrud-Sat                              ;Alba           ;AB;0;21913
Achimetesti                            ;Alba           ;AB;28;21914
Acmariu                                ;Alba           ;AB;20;22214
Aiud                                   ;Alba           ;AB;0;10002
Aiudul de Sus                          ;Alba           ;AB;0;21915
Alba Iulia                             ;Alba           ;AB;0;1
Albac                                  ;Alba           ;AB;0;10003
Alecus                                 ;Alba           ;AB;55;26652
Almasu de Mijloc                       ;Alba           ;AB;60;21916
Almasu Mare                            ;Alba           ;AB;60;10004
Ampoita                                ;Alba           ;AB;0;10005
Anghelesti                             ;Alba           ;AB;21;27559
Arieseni                               ;Alba           ;AB;43;10006
Aronesti                               ;Alba           ;AB;0;27560
Arti                                   ;Alba           ;AB;35;27561
Asinip                                 ;Alba           ;AB;45;10007
Avram Iancu                            ;Alba           ;AB;31;10008
Avramesti (Arieseni)                   ;Alba           ;AB;43;21917
Avramesti (Avram Iancu)                ;Alba           ;AB;29;21918
Baba                                   ;Alba           ;AB;26;27562
Bacainti                               ;Alba           ;AB;70;22215
Badai                                  ;Alba           ;AB;43;21919
Bagau                                  ;Alba           ;AB;45;10009
Bai                                    ;Alba           ;AB;21;27563
Baia de Aries                          ;Alba           ;AB;25;10010
Balcaciu                               ;Alba           ;AB;30;26653
Balesti                                ;Alba           ;AB;0;21920
Balesti-Catun                          ;Alba           ;AB;0;21921
Balmosesti                             ;Alba           ;AB;0;27564
Balomiru de Camp;Alba           ;AB;20;18493
Barabant                               ;Alba           ;AB;0;21922
Barasti                                ;Alba           ;AB;24;21923
Barbesti                               ;Alba           ;AB;49;27565
Bardesti                               ;Alba           ;AB;25;27566
Barlesti (Bistra)                      ;Alba           ;AB;0;21924
Barlesti (Mogos)                       ;Alba           ;AB;41;21925
Barlesti (Scarisoara)                  ;Alba           ;AB;38;21926
Barlesti-Catun                         ;Alba           ;AB;51;27567
Barsana                                ;Alba           ;AB;34;27568
Barzan                                 ;Alba           ;AB;21;27569
Barzogani                              ;Alba           ;AB;54;21927
Bazesti                                ;Alba           ;AB;0;27570
